,State,TotalPop,Hispanic,White,Black,Native,Asian,Pacific,Income,GenderPop,M,F
0,Alabama,4830620,3.7516156462584975,61.878656462585,31.25297619047618,0.4532312925170065,1.0502551020408146,0.03435374149659865,43296.35860306644,2341093M_2489527F,2341093,2489527.0
1,Alaska,733375,5.909580838323351,60.910179640718574,2.848502994011977,16.39101796407186,5.450299401197604,1.0586826347305378,70354.74390243902,384160M_349215F,384160,349215.0
2,Arizona,6641928,29.565921052631502,57.12000000000002,3.8509868421052658,4.35506578947368,2.876578947368419,0.16763157894736833,54207.82095490716,3299088M_3342840F,3299088,3342840.0
3,Arkansas,2958208,6.215474452554737,71.13781021897813,18.968759124087576,0.5229197080291965,1.1423357664233578,0.14686131386861315,41935.63396778917,1451913M_1506295F,1451913,1506295.0
4,California,38421464,37.29187468796805,40.21578881677474,5.677396405391911,0.4052920619071369,13.052234148776774,0.35141038442336353,67264.78230266465,19087135M_19334329F,19087135,19334329.0
5,Colorado,5278906,20.784380032206077,69.89557165861504,3.546376811594201,0.5738325281803548,2.661996779388082,0.0,64657.8017871649,2648667M_2630239F,2648667,2630239.0
7,Connecticut,3593222,15.604830917874386,67.6770531400966,10.348067632850269,0.12620772946859898,4.021980676328502,0.018599033816425126,76146.5605875153,1751607M_1841615F,1751607,1841615.0
8,Delaware,926454,8.82476635514019,64.63271028037383,20.743925233644838,0.25981308411214965,3.2686915887850483,0.0,61827.976635514024,448413M_478041F,448413,478041.0
9,District of Columbia,647484,9.1659217877095,33.10391061452513,51.77653631284915,0.20055865921787716,3.3832402234636865,0.029608938547486037,75466.36363636362,306674M_340810F,306674,340810.0
10,Florida,19645772,21.3385426653884,59.08374880153398,15.165675934803446,0.2104506232023015,2.2831735378715257,0.051510067114093915,50690.19498674379,9600009M_10045763F,9600009,10045763.0
11,Georgia,10006693,8.418242207460397,54.286305569749615,32.088298415942766,0.187583035258048,3.097649463464489,0.04660194174757282,50811.08205128205,4883331M_5123362F,4883331,5123362.0
13,Hawaii,1406299,9.186708860759486,25.032278481012654,2.0528481012658233,0.1449367088607596,36.59208860759495,8.758860759493674,73264.42628205128,709871M_696428F,709871,696428.0
14,Idaho,1616547,11.50536912751678,83.1362416107383,0.5667785234899323,1.4681208053691284,1.135906040268457,0.1271812080536914,48017.31543624161,810464M_806083F,810464,806083.0
15,Illinois,12873761,15.601733547351515,60.85980738362765,17.108410914927713,0.118426966292135,4.4753772070626034,0.02003210272873195,59587.04887459808,6316899M_6556862F,6316899,6556862.0
16,Indiana,6568645,6.536744186046501,78.4318936877077,11.18697674418606,0.1940863787375415,1.5782724252491689,0.03262458471760798,48616.22784810127,3235263M_3333382F,3235263,3333382.0
17,Iowa,3093526,5.30364520048603,87.71968408262464,3.2569866342648868,0.2897934386391251,1.6993924665856617,0.055164034021871235,53017.75304136253,1534595M_1558931F,1534595,1558931.0
19,Kansas,2892987,11.644342105263148,75.95828947368426,6.567894736842099,0.7339473684210529,2.3310526315789457,0.0,53885.61264822135,1439862M_1453125F,1439862,1453125.0
20,Kentucky,4397353,3.222993688007212,85.23074842200191,8.272317403065832,0.1666366095581602,1.1298467087466182,0.046438232642019836,45285.80253623189,2164208M_2233145F,2164208,2233145.0
21,Louisiana,4625253,4.866489361702128,54.9785460992908,36.32624113475175,0.4843085106382982,1.669060283687941,0.03918439716312056,44957.99376114082,2261156M_2364097F,2261156,2364097.0
22,Maine,1329100,1.4319088319088318,93.70740740740736,1.1344729344729356,0.7883190883190888,0.9658119658119668,0.015669515669515667,49181.97435897437,650081M_679019F,650081,679019.0
23,Maryland,5930538,8.47249820014399,52.679049676026004,30.6777537796976,0.2030957523398128,5.325413966882652,0.036285097192224634,78765.40072463769,2872643M_F,2872643,3057895.0
25,Massachusetts,6705586,11.461065573770476,73.04105191256845,6.83312841530056,0.12827868852459007,5.835655737704913,0.0198087431693989,72838.93672627235,3249650M_3455936F,3249650,3455936.0
26,Michigan,9900571,4.634992732558134,72.38172238372084,17.633103197674426,0.4844113372093031,2.42311046511628,0.019549418604651158,51201.83003663004,4861973M_5038598F,4861973,5038598.0
27,Minnesota,5419171,5.152923538230897,81.42706146926534,5.65982008995502,1.069040479760119,4.156071964017996,0.03290854572713645,62820.833959429,2692166M_2727005F,2692166,2727005.0
28,Mississippi,2988081,2.8424012158054732,53.28632218844981,41.49194528875381,0.3899696048632216,0.8764437689969605,0.015045592705167175,38909.91920731707,1451723M_1536358F,1451723,1536358.0
29,Missouri,6045448,4.037247838616718,77.50806916426501,14.122118155619596,0.3633285302593665,1.6244956772334296,0.10165706051873193,49763.98772563177,2964003M_3081445F,2964003,3081445.0
31,Montana,1014699,3.2688888888888896,86.41555555555556,0.4292592592592591,7.060740740740743,0.5703703703703705,0.07222222222222223,47645.682835820895,510163M_F,510163,504536.0
32,Nebraska,1869365,9.203759398496237,81.13947368421056,4.956203007518794,0.8644736842105263,1.8590225563909788,0.05714285714285715,55916.469696969696,929606M_939759F,929606,939759.0
33,Nevada,2798636,27.100883652430053,53.23932253313698,7.739617083946994,1.0871870397643593,7.095729013254785,0.5745213549337267,55526.52507374632,1407735M_1390901F,1407735,1390901.0
34,New Hampshire,1324201,3.32191780821918,91.31917808219185,1.2277397260273974,0.14280821917808229,2.1914383561643818,0.016095890410958904,68728.85958904111,653484M_670717F,653484,670717.0
35,New Jersey,8904413,18.74950049950049,56.48876123876129,14.387862137862115,0.11533466533466513,8.159990009990018,0.031318681318681325,76581.08341708544,4343027M_4561386F,4343027,4561386.0
37,New Mexico,2084117,45.28293172690761,40.697991967871474,1.7550200803212852,9.248594377510043,1.2343373493975902,0.04277108433734938,47329.96787148595,1032414M_1051703F,1032414,1051703.0
38,New York,19673174,17.241424747786688,56.47010500308829,15.668046119003515,0.3216388717315212,7.897158739962935,0.023450689726168417,64290.74911292006,9541801M_10131373F,9541801,10131373.0
39,North Carolina,9845333,8.464762782128062,64.5976508521419,21.395117457392896,1.0854905573468434,2.317457392906495,0.05232611699677568,49937.46413697362,4795408M_5049925F,4795408,5049925.0
40,North Dakota,721640,2.8326829268292673,87.44829268292682,1.2843902439024395,5.6512195121951185,0.9619512195121944,0.0,58188.112195121954,367963M_353677F,367963,353677.0
41,Ohio,11575977,3.672084325059504,75.90306018361096,16.207276436586163,0.16888813328799712,1.6210812648758952,0.022645358721523304,49655.24846625767,5662893M_5913084F,5662893,5913084.0
43,Oklahoma,3849733,10.0799043062201,66.05942583732046,8.314736842105255,6.716842105263157,1.8011483253588516,0.10622009569377984,48100.85426653883,1906944M_1942789F,1906944,1942789.0
44,Oregon,3939233,11.441212121212132,78.39551515151517,1.730787878787877,1.0002424242424257,3.5949090909090877,0.3453333333333332,54271.90181818182,1948453M_1990780F,1948453,1990780.0
45,Pennsylvania,12779559,6.128013741411624,77.38385384134915,11.633947532791993,0.11926920674578385,2.797751405371649,0.01939412866958152,56170.46451005025,6245344M_6534215F,6245344,6534215.0
46,Puerto Rico,3583073,98.89357384441936,0.7736189402480265,0.0925591882750846,0.0028184892897406984,0.07519729425028186,0.0012401352874859078,20720.538285714287,1713860M_1869213F,1713860,1869213.0
47,Rhode Island,1053661,13.356666666666676,74.32541666666665,5.68291666666667,0.3462500000000001,3.2474999999999983,0.03583333333333333,59125.27083333334,510388M_543273F,510388,543273.0
49,South Carolina,4777576,5.056684981684991,62.888736263736185,28.75091575091577,0.2923992673992673,1.249175824175822,0.04697802197802197,46296.80776340111,2322409M_2455167F,2322409,2455167.0
50,South Dakota,843190,3.2396396396396376,82.50090090090093,1.4238738738738752,9.417567567567566,1.0193693693693688,0.04189189189189189,51805.40540540541,423477M_419713F,423477,419713.0
51,Tennessee,6499615,4.720026972353339,73.49008766014822,18.283816587997297,0.2266351989211059,1.4072825354012126,0.04315576534052599,47328.08361658736,3167756M_3331859F,3167756,3331859.0
52,Texas,26538614,38.04673809068304,44.68790893437915,11.650047828582359,0.2611440596900713,3.6696958102161834,0.06881576430074614,55874.522600500095,13171316M_13367298F,13171316,13367298.0
53,Utah,2903379,13.468376068376065,79.40683760683764,1.0179487179487194,1.0813675213675222,2.196068376068376,0.8259829059829059,63488.91780821918,1459229M_1444150F,1459229,1444150.0
55,Vermont,626604,1.6092896174863391,93.98306010928958,0.9808743169398908,0.301639344262295,1.23879781420765,0.030601092896174863,55602.967213114745,308573M_318031F,308573,318031.0
56,Virginia,8256630,8.0110164981373,63.27104843001594,20.175997871208068,0.21245343267695585,5.455242150079846,0.06471527408195847,72866.01341201717,4060948M_4195682F,4060948,4195682.0
57,Washington,6985464,11.140968858131506,72.03840830449816,3.384429065743947,1.4107266435986163,7.022006920415224,0.6098961937716271,64493.76768377254,3487725M_3497739F,3487725,3497739.0
58,West Virginia,1851420,1.2909090909090892,92.17623966942145,3.662809917355372,0.15268595041322314,0.6824380165289253,0.02644628099173554,41437.11157024794,913631M_937789F,913631,937789.0
59,Wisconsin,5742117,6.683333333333334,79.86400862068966,8.195186781609202,0.9536637931034484,2.404238505747124,0.02083333333333333,53898.889208633096,2851385M_2890732F,2851385,2890732.0
